Carbon Dioxide Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,,
Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020,2009-19,2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,21.3,14.8,14.5,15.5,14.4,15.1,15.1,16.6,18.9,18.6,17.5,18.4,19.5,20.9,20.1,20.6,20.7,21.9,20.9,19.6,18.8,18.2,16.6,16.1,15.9,16.3,16.7,17.2,16.4,16.4,15.3,-7.106%,-1.8%,?,,,
Cyprus,1.2,1.3,1.5,1.6,1.9,2.0,2.4,2.7,2.9,2.4,2.1,2.1,2.5,2.6,2.7,2.7,2.5,3.1,3.2,3.2,3.6,3.7,4.6,4.7,4.7,5.0,5.1,6.0,6.3,6.3,6.7,6.8,6.9,7.2,7.6,8.0,8.1,7.9,8.5,8.3,9.3,9.1,9.3,9.5,9.2,8.8,8.7,8.1,7.3,7.3,7.5,8.1,8.3,8.2,8.2,7.0,-14.960%,-1.1%,?,,,
Czech Republic,156.2,157.0,153.8,160.4,167.2,172.5,181.0,180.7,180.6,181.4,188.1,193.7,199.2,201.5,202.6,195.2,194.3,191.8,191.5,195.8,193.9,192.0,190.6,190.9,184.9,155.3,143.2,136.6,134.1,128.6,130.2,132.9,127.2,121.6,113.9,124.1,125.1,120.8,124.0,124.8,123.4,126.0,125.6,120.3,113.5,116.5,113.1,109.3,105.0,102.0,102.8,104.8,102.7,101.7,98.5,85.1,-13.799%,-1.4%,0.3%,,,
Denmark,47.7,54.3,54.0,56.1,63.9,67.5,63.2,66.6,65.0,59.2,56.4,62.5,63.9,65.7,66.2,66.2,58.9,57.6,54.6,55.5,62.8,64.2,61.6,60.4,54.7,56.0,65.7,60.5,63.8,68.6,65.7,79.4,69.7,65.2,62.3,58.0,58.3,57.2,62.5,56.6,53.7,62.0,57.2,54.4,50.7,51.4,46.5,41.1,43.6,40.3,36.9,38.2,35.5,35.9,32.3,26.6,-17.830%,-4.4%,0.1%,,,
Estonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38.5,38.5,39.0,38.0,39.2,38.3,34.4,26.1,20.6,20.3,19.0,20.0,19.8,18.3,16.9,17.2,17.7,17.7,19.6,20.0,19.5,19.1,22.1,21.0,18.8,22.9,23.9,23.5,24.6,24.2,22.3,22.4,24.3,25.8,18.0,14.8,-18.064%,-0.4%,?,,,
Finland,24.7,28.1,28.9,33.2,38.9,43.2,43.3,44.8,50.5,46.0,47.0,53.3,52.5,55.5,57.4,57.5,48.5,47.0,45.5,48.3,53.4,53.2,56.0,55.3,55.7,57.5,56.7,54.6,56.3,62.9,58.6,64.8,62.8,60.2,59.9,58.9,63.9,66.7,74.9,68.8,58.2,68.6,66.3,58.6,56.2,63.9,56.6,50.8,51.9,47.6,44.8,47.7,45.0,46.5,43.4,39.0,-10.336%,-2.5%,0.1%,,,
France,329.4,331.0,355.9,369.3,404.4,433.7,453.6,477.8,518.8,500.5,457.1,509.6,493.1,497.7,510.2,485.0,441.8,418.6,402.8,387.7,381.8,369.9,362.4,359.1,370.5,367.2,390.7,379.4,362.0,348.7,356.2,372.5,361.2,384.9,384.4,381.5,383.4,380.1,387.2,389.1,389.8,380.1,370.5,369.7,354.8,360.4,333.8,335.3,334.8,301.4,307.4,313.0,317.7,306.7,299.0,251.1,-16.241%,-1.7%,0.8%,,,
Germany,910.4,901.0,892.4,944.8,1011.9,1043.4,1045.1,1067.3,1116.4,1085.3,1025.3,1093.4,1072.5,1052.7,1104.2,1077.8,1043.9,1003.3,1018.0,1038.3,1045.8,1037.3,1031.4,1017.0,1003.8,1007.6,969.7,923.7,916.3,896.9,889.4,914.8,888.0,879.0,855.9,854.4,871.7,859.0,862.0,847.5,826.3,843.8,811.1,809.4,753.6,783.2,763.7,773.0,797.6,751.2,755.7,770.5,761.0,734.5,681.5,604.9,-11.484%,-1.0%,1.9%,,,
Greece,22.5,23.7,26.0,27.2,27.8,29.8,37.2,41.9,48.9,48.2,56.2,63.1,67.1,65.2,54.1,52.9,52.6,52.6,54.8,56.9,60.2,60.1,67.1,71.7,78.5,81.5,81.5,84.2,85.4,86.7,88.7,89.9,93.3,98.8,97.3,102.6,104.7,103.7,107.5,107.4,107.8,108.3,112.8,107.8,102.7,94.6,94.5,88.2,79.2,75.6,73.3,69.9,74.0,72.1,76.7,58.2,-24.306%,-2.9%,0.2%,,,
Hungary,59.5,59.3,55.3,56.4,59.5,63.0,64.1,65.4,69.9,71.7,72.8,76.1,80.5,85.5,84.4,83.1,81.5,81.6,77.8,79.3,79.5,77.9,79.2,75.1,71.3,70.9,65.6,62.1,58.8,58.2,57.9,58.8,57.2,57.9,58.6,55.3,56.7,55.9,58.0,57.3,57.5,57.4,55.4,54.2,48.2,48.7,48.7,44.6,42.2,41.3,43.9,45.0,46.9,47.5,47.5,45.7,-3.872%,-0.2%,0.1%,,,
Iceland,1.5,1.6,1.5,1.7,1.5,1.5,1.7,1.8,2.0,1.9,1.8,1.8,1.9,2.0,2.0,1.9,1.9,1.7,1.7,1.9,1.9,1.9,2.0,2.1,2.2,2.2,2.1,2.2,2.3,2.3,2.4,2.6,2.6,2.6,2.6,2.8,2.7,2.8,2.8,2.9,2.9,3.0,3.1,2.8,2.6,2.5,2.5,2.5,2.7,2.7,2.9,3.2,3.6,3.7,3.3,2.6,-21.505%,2.3%,?,,,
Ireland,20.0,22.7,24.7,29.2,29.1,21.5,22.4,23.2,24.3,24.8,23.2,23.8,25.0,26.2,28.7,27.4,26.4,26.1,25.7,25.4,26.9,28.6,29.7,29.1,29.8,31.0,31.6,31.8,32.2,33.1,33.9,35.7,37.4,40.0,42.1,43.6,46.4,45.7,45.3,45.5,47.7,47.5,48.4,47.9,42.9,42.5,38.6,38.7,37.4,37.0,38.9,40.4,39.3,39.1,37.4,32.8,-12.678%,-1.3%,0.1%,,,
Italy,204.9,222.7,246.2,266.5,288.3,320.4,342.3,357.8,374.8,374.9,368.7,384.3,378.7,377.2,388.8,383.2,374.1,370.6,353.1,355.5,354.4,362.6,378.2,383.8,403.2,403.8,407.2,403.6,396.5,393.4,413.1,407.9,414.5,426.3,427.2,434.4,429.5,433.0,450.8,468.3,470.2,467.1,458.0,442.5,391.5,397.1,388.5,371.0,341.5,318.9,334.5,331.3,335.3,335.9,330.3,287.2,-13.293%,-1.7%,0.9%,,,
Latvia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,25.2,23.3,20.3,19.4,18.8,18.4,17.6,12.8,10.8,9.9,9.1,9.2,8.3,8.0,7.4,6.9,7.7,7.9,7.9,8.5,8.7,8.4,8.8,8.6,7.9,9.2,8.3,8.0,8.0,7.7,7.8,8.2,8.0,8.0,8.4,7.3,-13.591%,0.6%,?,,,
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37.4,33.6,36.0,35.4,36.2,36.1,39.0,20.7,16.4,15.4,14.3,14.8,14.1,14.7,12.7,10.9,12.1,11.6,11.8,12.3,13.1,13.4,13.1,13.3,12.0,13.2,12.4,12.4,11.7,11.0,11.3,11.7,11.9,12.5,12.5,11.9,-4.614%,0.3%,?,,,
Luxembourg,13.4,12.7,12.4,13.4,14.4,14.9,14.2,14.5,15.2,15.4,12.6,12.5,11.4,11.9,12.3,11.4,9.6,9.0,8.4,9.2,9.4,9.1,8.3,8.5,9.9,10.3,11.0,11.0,11.1,10.6,8.7,8.9,8.5,8.0,8.5,9.0,9.7,10.5,11.0,12.5,12.8,12.5,12.0,11.9,11.4,12.0,11.7,11.4,10.9,10.5,10.1,10.0,10.3,10.8,10.9,8.8,-19.367%,-0.4%,?,,,
Netherlands,113.0,117.8,122.8,138.2,149.1,167.0,171.9,196.7,206.3,189.2,184.9,203.4,200.0,184.6,191.3,180.9,174.0,168.4,164.7,169.8,172.7,174.9,182.5,187.8,188.4,191.9,199.6,200.1,205.0,202.2,208.6,219.6,217.2,218.1,215.1,216.2,225.9,226.0,225.4,231.4,233.1,231.6,229.1,227.2,217.7,226.5,219.4,212.2,208.3,197.6,206.9,210.0,202.9,198.7,194.1,175.9,-9.624%,-1.1%,0.5%,,,
North Macedonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.8,8.5,8.7,9.1,8.5,8.4,9.6,8.6,9.9,9.1,8.7,8.8,8.3,9.0,8.7,9.1,9.1,9.5,9.4,8.7,8.5,9.3,8.9,7.9,7.5,7.2,7.1,7.5,7.1,8.1,7.2,-10.924%,-0.8%,?,,,
Norway,17.7,19.4,20.0,21.9,24.0,26.7,26.5,27.9,28.0,26.2,32.5,35.1,30.0,31.6,33.2,31.1,29.0,27.9,28.0,27.9,29.3,31.4,30.9,30.1,33.0,30.0,28.0,29.5,30.4,32.3,32.4,35.1,36.3,37.4,37.5,35.3,37.4,36.8,38.4,38.8,37.8,38.1,37.7,37.1,37.1,38.6,38.4,38.1,37.0,36.2,36.3,35.1,34.6,35.1,33.9,32.0,-5.800%,-0.9%,0.1%,,,
Poland,253.0,257.2,263.5,281.6,299.0,312.8,321.9,339.4,342.7,352.1,380.1,400.6,417.4,437.5,443.8,465.9,419.3,428.6,429.6,447.3,457.7,469.4,485.6,474.8,456.6,373.5,368.4,353.1,352.2,334.3,341.3,355.0,350.5,330.9,323.8,299.8,297.9,294.4,303.5,301.9,307.2,320.7,317.5,319.5,305.3,323.8,324.0,308.1,310.5,293.4,293.4,306.2,315.6,320.3,301.5,279.6,-7.521%,-0.1%,0.9%,,,
Portugal,10.5,10.8,11.6,12.0,12.4,14.9,16.5,17.7,20.1,21.0,21.8,22.8,22.2,23.3,24.9,26.3,28.3,28.4,29.5,28.4,27.4,30.9,31.6,32.6,41.0,39.1,42.1,46.0,45.2,45.6,53.0,50.4,50.9,56.7,62.2,61.3,60.2,63.4,59.9,62.1,64.6,59.6,58.4,57.5,56.9,51.5,51.4,50.7,49.4,49.6,53.1,52.5,57.3,54.3,50.7,41.3,-18.830%,-1.2%,0.1%,,,
