Carbon Dioxide Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,,
Million tonnes of carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020,2009-19,2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,24.9,29.6,32.8,36.3,42.5,49.0,52.6,54.6,67.7,68.8,75.3,84.1,96.2,104.0,119.2,123.4,128.7,129.1,135.3,148.0,158.9,170.0,179.2,204.1,215.5,235.4,263.8,288.3,317.9,343.4,372.7,413.6,438.2,368.6,402.0,428.6,442.2,461.0,470.5,479.6,487.9,492.7,504.5,517.2,521.8,578.9,604.5,601.3,608.0,602.8,609.4,614.5,631.1,646.4,623.2,577.8,-7.530%,1.8%,1.8%,,,
Sri Lanka,1.5,1.5,1.5,1.6,1.6,3.1,2.9,3.1,3.2,2.5,2.5,2.4,2.6,3.0,3.1,3.2,3.8,4.3,4.7,4.0,3.6,3.5,4.0,3.9,3.7,3.9,4.1,4.9,4.7,5.2,5.7,7.0,7.6,8.1,8.9,10.6,10.4,11.1,11.1,10.9,12.6,13.0,13.8,12.6,13.2,13.1,14.8,16.1,14.0,17.3,17.9,20.3,21.7,21.4,23.3,20.8,-10.814%,5.8%,0.1%,,,
Taiwan,18.8,20.0,21.8,23.9,25.2,27.6,33.9,35.3,41.5,38.6,41.8,52.2,57.1,65.3,67.7,73.6,64.8,67.8,74.6,76.1,75.0,86.3,91.4,107.1,117.3,120.5,130.2,139.2,151.3,158.5,169.4,177.6,192.8,206.7,218.1,236.4,234.4,246.0,249.7,266.5,270.3,278.2,281.1,266.4,253.8,273.2,278.1,272.0,273.8,281.1,281.4,283.9,292.5,290.5,284.9,275.9,-3.419%,1.2%,0.9%,,,
Thailand,7.4,8.7,9.9,13.0,14.1,16.3,17.9,22.3,23.6,24.3,26.1,27.6,30.9,34.8,36.1,37.7,36.8,36.4,40.4,44.1,47.0,48.7,57.7,64.9,74.7,89.7,99.9,110.4,124.9,140.0,153.9,171.9,178.7,163.8,171.2,168.2,174.5,189.4,200.3,218.3,227.5,227.7,236.7,237.4,236.5,248.7,253.5,270.6,274.8,281.6,289.7,296.4,297.1,299.6,294.3,277.1,-6.089%,2.2%,0.9%,,,
Vietnam,8.2,13.9,19.0,19.8,23.3,24.3,21.8,21.1,22.7,17.3,19.8,12.1,12.9,13.1,13.9,14.9,15.2,16.4,17.3,17.2,17.4,18.9,21.4,20.9,17.8,18.7,18.8,19.7,22.1,24.4,27.7,31.8,38.3,42.0,40.8,47.6,52.0,58.0,63.6,84.3,87.7,73.9,80.4,105.4,103.6,123.1,136.1,134.0,140.2,156.7,185.5,198.1,199.5,241.0,292.1,283.9,-3.053%,10.9%,0.9%,,,
Other Asia Pacific,53.7,57.5,62.9,68.4,73.2,78.7,86.5,89.6,92.3,98.0,104.4,109.3,115.5,122.7,131.9,141.5,144.7,150.9,157.9,159.7,167.0,167.5,161.2,162.6,160.2,154.3,150.3,134.2,127.2,119.7,116.1,107.1,107.1,101.7,108.8,115.8,119.3,117.1,122.4,123.2,128.4,132.4,124.2,130.0,114.3,120.9,112.6,116.8,108.9,120.8,128.5,141.0,143.4,147.2,206.7,205.2,-1.025%,6.1%,0.6%,,,
Total Asia Pacific,1431.3,1549.5,1615.9,1721.6,1958.2,2235.0,2445.6,2583.1,2786.1,2826.3,2946.5,3078.5,3270.3,3402.4,3543.9,3575.6,3593.8,3624.5,3776.4,4049.1,4179.7,4332.6,4576.1,4923.2,5169.3,5374.4,5631.6,5881.7,6192.3,6521.4,6781.5,7093.6,7243.8,7179.5,7471.2,7710.2,7963.4,8407.2,9274.3,10239.3,11188.4,11869.1,12653.4,12954.6,13246.1,13997.5,14869.5,15309.8,15667.0,15850.1,15988.3,16148.5,16501.1,16917.6,17203.3,16778.0,-2.7%,2.6%,52.0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,11189.7,11694.9,12055.5,12701.5,13483.7,14291.7,14762.4,15463.1,16332.1,16239.6,16557.2,17479.5,18019.6,18363.1,18942.5,18719.3,18415.2,18220.5,18340.1,19034.7,19441.1,19767.0,20360.2,21035.0,21438.4,21548.9,21604.4,21641.2,21698.8,21913.5,22201.1,22803.6,22973.4,23031.2,23314.0,23847.9,24175.3,24733.8,25960.4,27308.4,28398.7,29281.5,30330.4,30607.5,29964.1,31291.4,32172.5,32504.0,33071.2,33140.7,33206.1,33361.9,33726.9,34351.1,34356.6,32284.1,-6.3%,1.4%,100.0%,,,
of which: OECD,7701.3,8003.2,8270.9,8782.8,9306.7,9791.5,9934.1,10365.2,10962.3,10685.2,10370.3,10962.8,11153.1,11204.4,11501.1,11207.1,10858.6,10473.9,10366.4,10752.2,10943.9,10991.5,11244.5,11574.0,11777.7,11716.2,11710.6,11747.7,11823.3,12007.7,12173.1,12596.6,12702.2,12722.9,12801.0,13078.3,13041.7,13119.6,13362.7,13519.9,13631.7,13625.0,13742.2,13537.4,12613.5,13046.1,12857.6,12667.9,12767.2,12553.9,12473.1,12377.7,12396.3,12494.8,12140.1,10778.1,-11.5%,-0.4%,33.4%,,,
                 Non-OECD,3488.4,3691.7,3784.7,3918.7,4177.0,4500.3,4828.3,5097.8,5369.9,5554.4,6186.9,6516.7,6866.5,7158.7,7441.4,7512.1,7556.6,7746.6,7973.7,8282.4,8497.2,8775.5,9115.7,9460.9,9660.7,9832.7,9893.8,9893.5,9875.4,9905.8,10028.0,10207.1,10271.3,10308.4,10513.0,10769.6,11133.6,11614.2,12597.6,13788.5,14767.0,15656.5,16588.1,17070.2,17350.5,18245.3,19314.9,19836.1,20303.9,20586.7,20733.1,20984.2,21330.6,21856.3,22216.5,21506.0,-3.5%,2.5%,66.6%,,,
                 European Union #,2616.4,2663.2,2742.0,2923.8,3148.1,3332.4,3409.4,3553.9,3731.3,3660.5,3591.7,3845.1,3828.6,3867.6,3991.0,3939.8,3758.3,3668.2,3621.2,3656.8,3790.1,3801.3,3843.9,3813.7,3836.2,3754.0,3684.3,3559.3,3501.0,3453.5,3513.1,3608.9,3557.1,3573.3,3522.2,3514.0,3571.3,3574.0,3667.8,3685.8,3673.7,3707.6,3650.9,3579.6,3310.1,3386.4,3300.3,3218.7,3147.0,2982.4,3045.6,3077.2,3115.3,3070.5,2936.7,2550.9,-13.4%,-1.2%,7.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: statistics are taken from national statistical agencies, international organizations, and other proprietary sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USSR includes CIS, Georgia, Ukraine and the Baltic States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" # Excludes Estonia, Latvia and Lithuania prior to 1985 and Croatia and Slovenia prior to 1990.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Notes: The carbon emissions above reflect only those through consumption of oil, gas and coal for combustion related activities and natural gas flaring (from 1975 onwards), and are based on",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 'Default CO2 Emissions Factors for Combustion' listed by the IPCC in its Guidelines for National Greenhouse Gas Inventories (2006). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" This does not allow for any carbon that is sequestered, for other sources of carbon emissions, or for emissions of other greenhouse gases. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Our data is therefore not comparable to official national emissions data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth rates are adjusted for leap years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
